ScanNumber	ScanTypeName	ScanType	ScanStartTime
436	CID-HMSn	2	7.2979
437	CID-HMSn	2	7.3061
438	HMS	1	7.3152
439	CID-HMSn	2	7.3261
440	CID-HMSn	2	7.3342
441	CID-HMSn	2	7.3562
442	HMS	1	7.3754
443	CID-HMSn	2	7.3862
444	CID-HMSn	2	7.4071
445	CID-HMSn	2	7.4277
446	HMS	1	7.4481
447	CID-HMSn	2	7.4589
448	CID-HMSn	2	7.4682
449	CID-HMSn	2	7.4879
450	HMS	1	7.5082
451	CID-HMSn	2	7.5186
452	CID-HMSn	2	7.5252
453	CID-HMSn	2	7.5394
454	HMS	1	7.5529
455	CID-HMSn	2	7.5636
456	CID-HMSn	2	7.5721
457	CID-HMSn	2	7.5852
458	HMS	1	7.6024
459	CID-HMSn	2	7.6124
460	CID-HMSn	2	7.6164
461	CID-HMSn	2	7.6247
462	HMS	1	7.6384
463	CID-HMSn	2	7.6484
464	CID-HMSn	2	7.6547
465	CID-HMSn	2	7.6639
466	HMS	1	7.6777
467	CID-HMSn	2	7.6879
468	CID-HMSn	2	7.6984
469	CID-HMSn	2	7.7112
470	HMS	1	7.7309
471	CID-HMSn	2	7.7411
472	CID-HMSn	2	7.7544
473	CID-HMSn	2	7.7687
474	HMS	1	7.7829
475	CID-HMSn	2	7.7934
476	CID-HMSn	2	7.8074
477	CID-HMSn	2	7.8187
478	HMS	1	7.8304
479	CID-HMSn	2	7.8411
480	CID-HMSn	2	7.8584
481	CID-HMSn	2	7.8749
482	HMS	1	7.8952
483	CID-HMSn	2	7.9066
484	CID-HMSn	2	7.9262
485	CID-HMSn	2	7.9469
486	HMS	1	7.9672
487	CID-HMSn	2	7.9782
488	CID-HMSn	2	7.9864
489	CID-HMSn	2	7.9942
490	HMS	1	8.0146
491	CID-HMSn	2	8.0251
492	CID-HMSn	2	8.0357
493	CID-HMSn	2	8.0442
494	HMS	1	8.0646
495	CID-HMSn	2	8.0754
496	CID-HMSn	2	8.0904
497	CID-HMSn	2	8.1056
498	HMS	1	8.1241
499	CID-HMSn	2	8.1346
500	CID-HMSn	2	8.1444
501	CID-HMSn	2	8.1542
502	HMS	1	8.1686
503	CID-HMSn	2	8.1792
504	CID-HMSn	2	8.1989
505	CID-HMSn	2	8.2131
506	HMS	1	8.2334
507	CID-HMSn	2	8.2442
508	CID-HMSn	2	8.2551
509	CID-HMSn	2	8.2712
510	HMS	1	8.2894
511	CID-HMSn	2	8.2997
512	CID-HMSn	2	8.3147
513	CID-HMSn	2	8.3286
514	HMS	1	8.3424
515	CID-HMSn	2	8.3529
516	CID-HMSn	2	8.3659
517	CID-HMSn	2	8.3802
518	HMS	1	8.4006
519	CID-HMSn	2	8.4097
520	CID-HMSn	2	8.4161
521	CID-HMSn	2	8.4297
522	HMS	1	8.4454
523	CID-HMSn	2	8.4556
524	CID-HMSn	2	8.4654
525	CID-HMSn	2	8.4846
526	HMS	1	8.4994
527	CID-HMSn	2	8.5099
528	CID-HMSn	2	8.5244
529	CID-HMSn	2	8.5389
530	HMS	1	8.5592
531	CID-HMSn	2	8.5696
532	CID-HMSn	2	8.5794
533	CID-HMSn	2	8.5931
534	HMS	1	8.6007
535	CID-HMSn	2	8.6109
536	CID-HMSn	2	8.6176
537	CID-HMSn	2	8.6322
538	HMS	1	8.6457
539	CID-HMSn	2	8.6557
540	CID-HMSn	2	8.6677
541	CID-HMSn	2	8.6872
542	HMS	1	8.7017
543	CID-HMSn	2	8.7121
544	CID-HMSn	2	8.7221
545	CID-HMSn	2	8.7373
546	HMS	1	8.7547
547	CID-HMSn	2	8.7652
548	CID-HMSn	2	8.7746
549	CID-HMSn	2	8.7886
550	HMS	1	8.8089
551	CID-HMSn	2	8.8194
552	CID-HMSn	2	8.8279
553	CID-HMSn	2	8.8466
554	HMS	1	8.8612
555	CID-HMSn	2	8.8714
556	CID-HMSn	2	8.8814
557	CID-HMSn	2	8.8927
558	HMS	1	8.9001
559	CID-HMSn	2	8.9106
560	CID-HMSn	2	8.9202
561	CID-HMSn	2	8.9367
562	HMS	1	8.9529
563	CID-HMSn	2	8.9631
564	CID-HMSn	2	8.9742
565	CID-HMSn	2	8.9862
566	HMS	1	9.0066
567	CID-HMSn	2	9.0167
568	CID-HMSn	2	9.0252
569	CID-HMSn	2	9.0459
570	HMS	1	9.0662
571	CID-HMSn	2	9.0771
572	CID-HMSn	2	9.0991
573	CID-HMSn	2	9.1187
574	HMS	1	9.1391
575	CID-HMSn	2	9.1496
576	CID-HMSn	2	9.1547
577	CID-HMSn	2	9.1701
578	HMS	1	9.1904
579	CID-HMSn	2	9.2007
580	CID-HMSn	2	9.2174
581	CID-HMSn	2	9.2381
582	HMS	1	9.2584
583	CID-HMSn	2	9.2686
584	CID-HMSn	2	9.2810
