ScanNumber	ScanTypeName	ScanType	ScanStartTime
783	CID-HMSn	2	11.9511
784	CID-HMSn	2	11.9579
785	CID-HMSn	2	11.9667
786	HMS	1	11.9761
787	CID-HMSn	2	11.9861
788	CID-HMSn	2	11.9992
789	CID-HMSn	2	12.0109
790	HMS	1	12.0226
791	CID-HMSn	2	12.0327
792	CID-HMSn	2	12.0416
793	CID-HMSn	2	12.0622
794	HMS	1	12.0804
795	CID-HMSn	2	12.0909
796	CID-HMSn	2	12.1022
797	CID-HMSn	2	12.1144
798	HMS	1	12.1257
799	CID-HMSn	2	12.1367
800	CID-HMSn	2	12.1562
801	CID-HMSn	2	12.1767
802	HMS	1	12.1948
803	CID-HMSn	2	12.2059
804	CID-HMSn	2	12.2108
805	CID-HMSn	2	12.2296
806	HMS	1	12.2445
807	CID-HMSn	2	12.2557
808	CID-HMSn	2	12.2739
809	CID-HMSn	2	12.2886
810	HMS	1	12.3066
811	CID-HMSn	2	12.3176
812	CID-HMSn	2	12.3305
813	CID-HMSn	2	12.3474
814	HMS	1	12.3666
815	CID-HMSn	2	12.3774
816	CID-HMSn	2	12.3902
817	CID-HMSn	2	12.4054
818	HMS	1	12.4212
819	CID-HMSn	2	12.4312
820	CID-HMSn	2	12.4348
821	CID-HMSn	2	12.4431
822	HMS	1	12.4605
823	CID-HMSn	2	12.4706
824	CID-HMSn	2	12.4728
825	CID-HMSn	2	12.4777
826	HMS	1	12.4829
827	CID-HMSn	2	12.4926
828	CID-HMSn	2	12.4946
829	CID-HMSn	2	12.4990
830	HMS	1	12.5036
831	CID-HMSn	2	12.5134
832	CID-HMSn	2	12.5164
833	CID-HMSn	2	12.5221
834	HMS	1	12.5275
835	CID-HMSn	2	12.5372
836	CID-HMSn	2	12.5430
837	CID-HMSn	2	12.5478
838	HMS	1	12.5531
839	CID-HMSn	2	12.5629
840	CID-HMSn	2	12.5697
841	CID-HMSn	2	12.5811
842	HMS	1	12.5900
843	CID-HMSn	2	12.6001
844	CID-HMSn	2	12.6109
845	CID-HMSn	2	12.6214
846	HMS	1	12.6377
847	CID-HMSn	2	12.6471
848	CID-HMSn	2	12.6606
849	CID-HMSn	2	12.6797
850	HMS	1	12.6912
851	CID-HMSn	2	12.7007
852	CID-HMSn	2	12.7147
853	CID-HMSn	2	12.7316
854	HMS	1	12.7447
855	CID-HMSn	2	12.7552
856	CID-HMSn	2	12.7571
857	CID-HMSn	2	12.7767
858	HMS	1	12.7958
859	CID-HMSn	2	12.8062
860	CID-HMSn	2	12.8228
861	CID-HMSn	2	12.8447
862	HMS	1	12.8651
863	CID-HMSn	2	12.8747
864	CID-HMSn	2	12.8792
865	CID-HMSn	2	12.8878
866	HMS	1	12.8986
867	CID-HMSn	2	12.9092
868	CID-HMSn	2	12.9238
869	CID-HMSn	2	12.9433
870	HMS	1	12.9577
871	CID-HMSn	2	12.9681
872	CID-HMSn	2	12.9764
873	CID-HMSn	2	12.9865
874	HMS	1	13.0047
875	CID-HMSn	2	13.0146
876	CID-HMSn	2	13.0176
877	CID-HMSn	2	13.0272
878	HMS	1	13.0364
879	CID-HMSn	2	13.0464
880	CID-HMSn	2	13.0503
881	CID-HMSn	2	13.0646
882	HMS	1	13.0751
883	CID-HMSn	2	13.0859
884	CID-HMSn	2	13.1001
885	CID-HMSn	2	13.1101
886	HMS	1	13.1137
887	CID-HMSn	2	13.1244
888	CID-HMSn	2	13.1417
889	CID-HMSn	2	13.1596
890	HMS	1	13.1737
891	CID-HMSn	2	13.1846
892	CID-HMSn	2	13.1918
893	CID-HMSn	2	13.2063
894	HMS	1	13.2202
895	CID-HMSn	2	13.2314
896	CID-HMSn	2	13.2422
897	CID-HMSn	2	13.2612
898	HMS	1	13.2796
899	CID-HMSn	2	13.2906
900	CID-HMSn	2	13.2954
901	CID-HMSn	2	13.3059
902	HMS	1	13.3187
903	CID-HMSn	2	13.3297
904	CID-HMSn	2	13.3452
905	CID-HMSn	2	13.3592
906	HMS	1	13.3773
907	CID-HMSn	2	13.3882
908	CID-HMSn	2	13.3966
909	CID-HMSn	2	13.4137
910	HMS	1	13.4217
911	CID-HMSn	2	13.4329
912	CID-HMSn	2	13.4403
913	CID-HMSn	2	13.4579
914	HMS	1	13.4782
915	CID-HMSn	2	13.4889
916	CID-HMSn	2	13.5033
917	CID-HMSn	2	13.5251
918	HMS	1	13.5431
919	CID-HMSn	2	13.5541
920	CID-HMSn	2	13.5664
921	CID-HMSn	2	13.5871
922	HMS	1	13.5972
923	CID-HMSn	2	13.6079
924	CID-HMSn	2	13.6125
925	CID-HMSn	2	13.6227
926	HMS	1	13.6349
927	CID-HMSn	2	13.6459
928	CID-HMSn	2	13.6612
929	CID-HMSn	2	13.6819
930	HMS	1	13.6987
931	CID-HMSn	2	13.7091
932	CID-HMSn	2	13.7148
933	CID-HMSn	2	13.7279
934	HMS	1	13.7416
935	CID-HMSn	2	13.7516
936	CID-HMSn	2	13.7644
937	CID-HMSn	2	13.7745
938	HMS	1	13.7866
939	CID-HMSn	2	13.7976
940	CID-HMSn	2	13.8008
941	CID-HMSn	2	13.8171
942	HMS	1	13.8351
943	CID-HMSn	2	13.8456
944	CID-HMSn	2	13.8626
945	CID-HMSn	2	13.8832
946	HMS	1	13.9013
947	CID-HMSn	2	13.9127
948	CID-HMSn	2	13.9312
949	CID-HMSn	2	13.9529
950	HMS	1	13.9734
951	CID-HMSn	2	13.9839
952	CID-HMSn	2	13.9911
953	CID-HMSn	2	14.0084
954	HMS	1	14.0265
955	CID-HMSn	2	14.0381
956	CID-HMSn	2	14.0537
957	CID-HMSn	2	14.0744
958	HMS	1	14.0909
959	CID-HMSn	2	14.1021
960	CID-HMSn	2	14.1149
961	CID-HMSn	2	14.1344
962	HMS	1	14.1467
963	CID-HMSn	2	14.1581
964	CID-HMSn	2	14.1652
965	CID-HMSn	2	14.1848
966	HMS	1	14.2006
967	CID-HMSn	2	14.2122
968	CID-HMSn	2	14.2329
969	CID-HMSn	2	14.2536
970	HMS	1	14.2741
971	CID-HMSn	2	14.2849
972	CID-HMSn	2	14.2964
973	CID-HMSn	2	14.3081
974	HMS	1	14.3262
975	CID-HMSn	2	14.3377
976	CID-HMSn	2	14.3427
977	CID-HMSn	2	14.3634
978	HMS	1	14.3786
979	CID-HMSn	2	14.3906
980	CID-HMSn	2	14.4089
981	CID-HMSn	2	14.4273
982	HMS	1	14.4476
983	CID-HMSn	2	14.4581
984	CID-HMSn	2	14.4673
985	CID-HMSn	2	14.4852
986	HMS	1	14.4986
987	CID-HMSn	2	14.5091
988	CID-HMSn	2	14.5221
989	CID-HMSn	2	14.5379
990	HMS	1	14.5544
991	CID-HMSn	2	14.5649
992	CID-HMSn	2	14.5767
993	CID-HMSn	2	14.5873
994	HMS	1	14.6019
995	CID-HMSn	2	14.6132
996	CID-HMSn	2	14.6289
997	CID-HMSn	2	14.6432
998	HMS	1	14.6609
